icao_address,mictronics_reg,adsbx_reg
3B77CE,114,64-IJ
C024D8,C-FNYT,C-NYT
C03AF7,C-FWIO,C-WIO
C03D79,C-FXHG,C-XHG
C01A44,C-FJYP,C-JYP
3B7F9F,F-ZWCE,F-UGSM
424C74,VQ-BIN,M-RBHF
A359A1,N355ZB,N315CL
A2919C,N2265AM,N265AM
A6A24C,5H-BAD,N5265N
A5938C,YV2945,N459AA
A02073,N127TW,N107TW
A8E76A,N763FR,N673FR
440417,OE-FNM,OE-LYX
A2E913,PR-NMD,N287MD
3422D6,HU.26-05,HU26-05
343083,T.10-03,T10-03
347416,HE.26-32A,HE26-32A
3532C5,TK.23-07,TK23-07
355315,TR.20-02,TR20-02
3571CD,E.27-13,E27-13
4D2090,9H-WME,9H-WII
4D214B,9H-TRI,9H-LGM
881BC6,B.F21-8/63,BF21-8/63
3571CE,E.27-14,E27-14
34308B,TK.10-11,TK10-11
3435CD,HU.26-16,HU26-16
34738D,HE.26-41A,HE26-41A
3474D4,HE.26-35A,HE26-35A
3571C9,E.27-09,E27-09
3571D1,E.27-17,E27-17
3571D2,E.27-18,E27-18
A45A73,N35RL,N38RL
3571C1,E.27-01,E27-01
3571C3,E.27-03,E27-03
3571D0,E.27-16,E27-16
359181,HE.26-04,HE26-04
359402,HE.26-21,HE26-21
4D0225,LX-ARY,LX-GVI
4D20B1,9H-WMG,9H-MAW
4D2141,9H-WZA,9H-TAS
11082A,RALF S.,RALF S
343113,HU.26-13,HU26-13
343253,HU.30-03,HU30-03
3543C3,HD.21-18,HD21-18
3571CB,E.27-11,E27-11
359194,HU.26-07,HU26-07
881B72,B.L18-3/61,BL18-3/61
AA542D,N765AT,PR-IOD
0084A2,ZS-TRO,ZS-BSZ
341589,T.21-04,T21-04
342199,T.21-09,T21-09
353541,D.4-07,D4-07
4D21DE,9H-CBH,9H-JLK
3474D5,HU.26-36A,HU26-36A
3474D8,HE.26-38A,HE26-38A
34760E,EC-ODX,EC-ODY
35350D,P.3M-12,P3M-12
440356,OE-IXW,OE-FBT
4D2521,9H-818TG,9H-168OO
750571,9M-LDP,9M-LFF
3425D6,U.21-01,U21-01
3532C6,TK.23-02,TK23-02
356343,TK.24-03,TK24-03
406F85,G-NWFX,G-CIUU
343087,TK.10-07,TK10-07
34738B,HU.26-40A,HU26-40A
34738C,HU.26-29A,HU26-29A
359405,HE.26-25,HE26-25
341517,T.21-01,T21-01
344186,HU.26-17,HU26-17
34738E,HE.26-42A,HE26-42A
3532C9,T.23-10,T23-10
35464B,TX.21-14,TX21-14
440098,OE-FBL,OE-IGF
881BC8,B.F21-2/63,BF21-2/63
AE51D3,10-20332,11-20332
00811F,ZS-TEY,ZS-AKK
440304,OE-LYB,OE-FEF
34158B,T.21-06,T21-06
342695,D.4-04,D4-04
3571CA,E.27-10,E27-10
4D216E,9H-EUC,9H-UTA
AE51A2,11-20340,10-20340
AE5FA5,11-46058,21-46058
354641,UD.14-03,UD14-03
3571CF,E.27-15,E27-15
40819C,G-CSLG,G-PDDY
4D208E,9H-WMC,9H-GYB
4D20AF,9H-11MKZ,9H-TOR
4D2101,9H-WMT,9H-OLA
500462,T7-RES,T7-178HT
31FEF6,I-EASR,RA-01688
3532CB,TK.23-03,TK23-03
3532CC,T.23-12,T23-12
35350C,P.3M-9,P3M-9
3571C5,E.27-05,E27-05
3591C6,HU.26-10,HU26-10
3593CC,HE.26-23,HE26-23
4D2116,9H-LRSR,9H-SKY
4D2152,9H-PFX,9H-LAS
AE51A3,11-20341,10-20341
33FC90,CSX55287,CSX62349
3474D2,HE.26-33A,HE26-33A
3532C7,T.23-08,T23-08
3532CE,TK.23-14,TK23-14
356595,C.16-20,C16-20
3571D4,E.27-20,E27-20
3593CB,HE.26-22,HE26-22
406C98,G-DAFC,G-TIMI
4403F4,OE-IET,OE-IAU
4D0237,LX-UTP,LX-ZAK
4D20BC,9H-WMH,9H-LAW
881BB8,B.F21-3/63,BF21-3/63
881BB9,B.F21-4/63,BF21-4/63
881BC7,B.F21-1/63,BF21-1/63
342599,HU.26-06,HU26-06
343085,TK.10-05,TK10-05
3571CC,E.27-12,E27-12
3591D0,HU.26-11,HU26-11
44009A,OE-LIA,OE-IEA
4D214F,9H-J4K,9H-ALJ
A0324B,7Q-YES,N1110J
ADFFC6,65-10394,64-10297
020131,212,CN-TMS
342694,D.4-05,D4-05
3430D8,T.21-13,T21-13
3442C4,HU.26-19,HU26-19
3571C4,E.27-04,E27-04
600B5D,40861,40860
3424C3,HU.30-01,HU30-01
401CD5,G-ECAY,G-SHAY
7A42A6,31110,30077
AE5FA7,11-46060,21-46060
353041,UD.14-01,UD14-01
3532C3,T.23-05,T23-05
48449A,P4-A8K,P4-MDH
4BB213,TC-OHS,TC-LPS
4D2013,9H-EUO,9H-EURO
4D20C1,9H-BEAR,9H-AGI
881BBA,B.F21-5/63,BF21-5/63
8990F6,B-16865,B-16828
343086,TK.10-06,TK10-06
34738A,HU.26-28A,HU26-28A
440033,OE-GTX,OE-LFX
34264F,T.21-11,T21-11
342697,D.4-03,D4-03
3432CE,T.19B-22,T19B-22
34738F,HU.26-30A,HU26-30A
3532C4,T.23-06,T23-06
44022C,OE-LGJ,OE-GCG
48433C,P4-AKR20,P4-KBG
50FFC6,45 BLUE,UR-09915
A0853F,NAF205,N1322B
347414,HU.26-31A,HU26-31A
3532CA,T.23-11,T23-11
35350F,P.3M-08,P3M-08
3571C8,E.27-08,E27-08
3571D7,E.27-23,E27-23
02012F,211,CN-TMR
342490,T.21-10,T21-10
353042,UD.14-02,UD14-02
356341,T.24-01,T24-01
3571D3,E.27-19,E27-19
505EAD,OM-DOM,OM-JUM
344609,UD.14-04,UD14-04
355316,TR.20-01,TR20-01
40120F,G-ZFZF,G-EGRV
4403A2,OE-GFB,OE-GAG
353344,TR.20-03,TR20-03
881BC4,B.F21-6/63,BF21-6/63
